mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
structured_mode,15,payment timeout while talking to checkout database [cycle 2],6,4120,1030,9546,1,2,6,2341,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,46.815,true,database_timeout,5,3,1,1273
text_mode,16,canary rollout triggers repeated postgres timeout [cycle 2],4,262151,65538,264849,0,0,0,0,0,false,,5,5,0,91.631,true,database_timeout,0,0,0,0
structured_mode,16,canary rollout triggers repeated postgres timeout [cycle 2],6,4114,1029,9598,1,2,6,2371,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,46.376,true,database_timeout,5,3,1,1305
text_mode,17,credential refresh fails with permission denied [cycle 2],4,262152,65538,264841,0,0,0,0,0,false,,5,5,0,91.628,true,permission_denied,0,0,0,0
structured_mode,17,credential refresh fails with permission denied [cycle 2],6,4253,1064,9829,1,2,6,2457,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,5,0,47.760,true,permission_denied,5,3,1,1359
text_mode,18,worker restart still cannot read secret volume [cycle 2],4,262154,65539,264839,0,0,0,0,0,false,,5,5,0,91.627,true,permission_denied,0,0,0,0
structured_mode,18,worker restart still cannot read secret volume [cycle 2],6,4223,1056,9810,1,2,6,2458,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,4,1,48.263,true,permission_denied,5,3,1,1374
text_mode,19,batch node loses database credentials after hardening [cycle 2],4,262165,65542,264877,0,0,0,0,0,false,,5,5,0,91.756,true,permission_denied,0,0,0,0
structured_mode,19,batch node loses database credentials after hardening [cycle 2],6,4251,1063,9837,1,2,6,2454,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,47.632,true,permission_denied,5,3,1,1366
text_mode,20,checkout jobs fail to load credential bundle [cycle 2],4,262290,65573,264966,0,0,0,0,0,false,,5,5,0,91.626,true,permission_denied,0,0,0,0
structured_mode,20,checkout jobs fail to load credential bundle [cycle 2],6,4253,1064,9831,1,2,6,2460,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,46.724,true,permission_denied,5,3,1,1354
text_mode,21,database writes fail because storage is full [cycle 2],4,262277,65570,264957,0,0,0,0,0,false,,5,5,0,91.749,true,storage_full,0,0,0,0
structured_mode,21,database writes fail because storage is full [cycle 2],6,3932,983,9476,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,5,0,51.629,true,storage_full,5,3,1,1311
text_mode,22,replica promotion stalls on no space left error [cycle 2],4,262283,65571,264973,0,0,0,0,0,false,,5,5,0,91.816,true,storage_full,0,0,0,0
structured_mode,22,replica promotion stalls on no space left error [cycle 2],6,3944,986,9486,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,4,1,50.963,true,storage_full,5,3,1,1311
text_mode,23,maintenance job aborts because postgres volume is full [cycle 2],4,262155,65539,264872,0,0,0,0,0,false,,5,5,0,91.763,true,storage_full,0,0,0,0
structured_mode,23,maintenance job aborts because postgres volume is full [cycle 2],6,4052,1013,9524,1,2,6,2329,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,46.622,true,storage_full,5,3,1,1287
text_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],4,262158,65540,264872,0,0,0,0,0,false,,5,5,0,91.609,true,storage_full,0,0,0,0
structured_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],6,4146,1037,9619,1,2,6,2366,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,45.645,true,storage_full,5,3,1,1298
text_mode,25,checkout database timeout on primary failover [cycle 3],4,262286,65572,264968,0,0,0,0,0,false,,5,5,0,91.643,true,database_timeout,0,0,0,0
structured_mode,25,checkout database timeout on primary failover [cycle 3],6,4016,1004,9488,1,2,6,2334,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,5,0,49.653,true,database_timeout,5,3,1,1290
text_mode,26,checkout timeout after config drift on blue deployment [cycle 3],4,262151,65538,264869,0,0,0,0,0,false,,5,5,0,91.642,true,database_timeout,0,0,0,0
structured_mode,26,checkout timeout after config drift on blue deployment [cycle 3],6,3986,997,9459,1,2,6,2309,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,47.757,true,database_timeout,5,3,1,1279
text_mode,27,payment timeout while talking to checkout database [cycle 3],4,262152,65538,264852,0,0,0,0,0,false,,5,5,0,91.617,true,database_timeout,0,0,0,0
structured_mode,27,payment timeout while talking to checkout database [cycle 3],6,4120,1030,9548,1,2,6,2342,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,47.867,true,database_timeout,5,3,1,1274
text_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],4,262151,65538,264849,0,0,0,0,0,false,,5,5,0,91.647,true,database_timeout,0,0,0,0
structured_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],6,4114,1029,9603,1,2,6,2372,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,47.474,true,database_timeout,5,3,1,1306
text_mode,29,credential refresh fails with permission denied [cycle 3],4,262152,65538,264841,0,0,0,0,0,false,,5,5,0,91.611,true,permission_denied,0,0,0,0
structured_mode,29,credential refresh fails with permission denied [cycle 3],6,4253,1064,9827,1,2,6,2457,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,5,0,50.602,true,permission_denied,5,3,1,1359
text_mode,30,worker restart still cannot read secret volume [cycle 3],4,262154,65539,264838,0,0,0,0,0,false,,5,5,0,91.623,true,permission_denied,0,0,0,0
structured_mode,30,worker restart still cannot read secret volume [cycle 3],6,4223,1056,9813,1,2,6,2458,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,4,1,51.257,true,permission_denied,5,3,1,1374
text_mode,31,batch node loses database credentials after hardening [cycle 3],4,262165,65542,264879,0,0,0,0,0,false,,5,5,0,91.586,true,permission_denied,0,0,0,0
structured_mode,31,batch node loses database credentials after hardening [cycle 3],6,4251,1063,9833,1,2,6,2454,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,47.747,true,permission_denied,5,3,1,1366
text_mode,32,checkout jobs fail to load credential bundle [cycle 3],4,262290,65573,264968,0,0,0,0,0,false,,5,5,0,91.614,true,permission_denied,0,0,0,0
structured_mode,32,checkout jobs fail to load credential bundle [cycle 3],6,4253,1064,9829,1,2,6,2460,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,47.797,true,permission_denied,5,3,1,1354
text_mode,33,database writes fail because storage is full [cycle 3],4,262277,65570,264956,0,0,0,0,0,false,,5,5,0,91.634,true,storage_full,0,0,0,0
structured_mode,33,database writes fail because storage is full [cycle 3],6,3932,983,9475,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,5,0,53.065,true,storage_full,5,3,1,1311
text_mode,34,replica promotion stalls on no space left error [cycle 3],4,262283,65571,264973,0,0,0,0,0,false,,5,5,0,91.631,true,storage_full,0,0,0,0
structured_mode,34,replica promotion stalls on no space left error [cycle 3],6,3944,986,9482,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,4,1,55.183,true,storage_full,5,3,1,1311
text_mode,35,maintenance job aborts because postgres volume is full [cycle 3],4,262155,65539,264873,0,0,0,0,0,false,,5,5,0,91.602,true,storage_full,0,0,0,0
structured_mode,35,maintenance job aborts because postgres volume is full [cycle 3],6,4052,1013,9526,1,2,6,2329,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,50.250,true,storage_full,5,3,1,1287
text_mode,36,checkout recovery loop hits disk-full condition again [cycle 3],4,262158,65540,264871,0,0,0,0,0,false,,5,5,0,91.760,true,storage_full,0,0,0,0
structured_mode,36,checkout recovery loop hits disk-full condition again [cycle 3],6,4146,1037,9621,1,2,6,2366,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,53.268,true,storage_full,5,3,1,1298
text_mode,37,checkout database timeout on primary failover [cycle 4],4,262286,65572,264968,0,0,0,0,0,false,,5,5,0,91.636,true,database_timeout,0,0,0,0
structured_mode,37,checkout database timeout on primary failover [cycle 4],6,4016,1004,9487,1,2,6,2334,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,5,0,53.394,true,database_timeout,5,3,1,1290
text_mode,38,checkout timeout after config drift on blue deployment [cycle 4],4,262151,65538,264868,0,0,0,0,0,false,,5,5,0,91.650,true,database_timeout,0,0,0,0
structured_mode,38,checkout timeout after config drift on blue deployment [cycle 4],6,3986,997,9460,1,2,6,2309,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,54.870,true,database_timeout,5,3,1,1279
text_mode,39,payment timeout while talking to checkout database [cycle 4],4,262152,65538,264853,0,0,0,0,0,false,,5,5,0,91.643,true,database_timeout,0,0,0,0
structured_mode,39,payment timeout while talking to checkout database [cycle 4],6,4120,1030,9545,1,2,6,2341,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,48.548,true,database_timeout,5,3,1,1273
text_mode,40,canary rollout triggers repeated postgres timeout [cycle 4],4,262151,65538,264848,0,0,0,0,0,false,,5,5,0,91.626,true,database_timeout,0,0,0,0
structured_mode,40,canary rollout triggers repeated postgres timeout [cycle 4],6,4114,1029,9601,1,2,6,2372,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,50.735,true,database_timeout,5,3,1,1306
text_mode,41,credential refresh fails with permission denied [cycle 4],4,262152,65538,264841,0,0,0,0,0,false,,5,5,0,91.629,true,permission_denied,0,0,0,0
structured_mode,41,credential refresh fails with permission denied [cycle 4],6,4253,1064,9831,1,2,6,2458,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,5,0,55.776,true,permission_denied,5,3,1,1360
text_mode,42,worker restart still cannot read secret volume [cycle 4],4,262154,65539,264839,0,0,0,0,0,false,,5,5,0,91.606,true,permission_denied,0,0,0,0
structured_mode,42,worker restart still cannot read secret volume [cycle 4],6,4223,1056,9809,1,2,6,2457,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,4,1,50.253,true,permission_denied,5,3,1,1373
text_mode,43,batch node loses database credentials after hardening [cycle 4],4,262165,65542,264878,0,0,0,0,0,false,,5,5,0,91.749,true,permission_denied,0,0,0,0
structured_mode,43,batch node loses database credentials after hardening [cycle 4],6,4251,1063,9834,1,2,6,2453,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,51.709,true,permission_denied,5,3,1,1365
text_mode,44,checkout jobs fail to load credential bundle [cycle 4],4,262290,65573,264969,0,0,0,0,0,false,,5,5,0,91.625,true,permission_denied,0,0,0,0
structured_mode,44,checkout jobs fail to load credential bundle [cycle 4],6,4253,1064,9827,1,2,6,2460,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,48.704,true,permission_denied,5,3,1,1354
text_mode,45,database writes fail because storage is full [cycle 4],4,262277,65570,264957,0,0,0,0,0,false,,5,5,0,91.649,true,storage_full,0,0,0,0
structured_mode,45,database writes fail because storage is full [cycle 4],6,3932,983,9474,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,5,0,53.752,true,storage_full,5,3,1,1311
text_mode,46,replica promotion stalls on no space left error [cycle 4],4,262283,65571,264974,0,0,0,0,0,false,,5,5,0,91.771,true,storage_full,0,0,0,0
structured_mode,46,replica promotion stalls on no space left error [cycle 4],6,3944,986,9482,1,2,6,2332,8388608,true,d3eb748200a74498baa458ebe970b06a,5,4,1,53.119,true,storage_full,5,3,1,1310
text_mode,47,maintenance job aborts because postgres volume is full [cycle 4],4,262155,65539,264871,0,0,0,0,0,false,,5,5,0,91.670,true,storage_full,0,0,0,0
structured_mode,47,maintenance job aborts because postgres volume is full [cycle 4],6,4052,1013,9523,1,2,6,2329,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,54.655,true,storage_full,5,3,1,1287
text_mode,48,checkout recovery loop hits disk-full condition again [cycle 4],4,262158,65540,264871,0,0,0,0,0,false,,5,5,0,91.624,true,storage_full,0,0,0,0
structured_mode,48,checkout recovery loop hits disk-full condition again [cycle 4],6,4146,1037,9620,1,2,6,2366,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,49.782,true,storage_full,5,3,1,1298
text_mode,49,checkout database timeout on primary failover [cycle 5],4,262286,65572,264969,0,0,0,0,0,false,,5,5,0,91.783,true,database_timeout,0,0,0,0
structured_mode,49,checkout database timeout on primary failover [cycle 5],6,4016,1004,9488,1,2,6,2334,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,5,0,55.436,true,database_timeout,5,3,1,1290
text_mode,50,checkout timeout after config drift on blue deployment [cycle 5],4,262151,65538,264867,0,0,0,0,0,false,,5,5,0,91.774,true,database_timeout,0,0,0,0
structured_mode,50,checkout timeout after config drift on blue deployment [cycle 5],6,3986,997,9458,1,2,6,2308,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,52.638,true,database_timeout,5,3,1,1278
text_mode,51,payment timeout while talking to checkout database [cycle 5],4,262152,65538,264852,0,0,0,0,0,false,,5,5,0,91.639,true,database_timeout,0,0,0,0
structured_mode,51,payment timeout while talking to checkout database [cycle 5],6,4120,1030,9547,1,2,6,2342,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,50.627,true,database_timeout,5,3,1,1274
text_mode,52,canary rollout triggers repeated postgres timeout [cycle 5],4,262151,65538,264848,0,0,0,0,0,false,,5,5,0,91.628,true,database_timeout,0,0,0,0
structured_mode,52,canary rollout triggers repeated postgres timeout [cycle 5],6,4114,1029,9600,1,2,6,2371,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,52.925,true,database_timeout,5,3,1,1305
text_mode,53,credential refresh fails with permission denied [cycle 5],4,262152,65538,264839,0,0,0,0,0,false,,5,5,0,91.589,true,permission_denied,0,0,0,0
structured_mode,53,credential refresh fails with permission denied [cycle 5],6,4253,1064,9831,1,2,6,2458,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,5,0,54.701,true,permission_denied,5,3,1,1360
text_mode,54,worker restart still cannot read secret volume [cycle 5],4,262154,65539,264839,0,0,0,0,0,false,,5,5,0,91.545,true,permission_denied,0,0,0,0
structured_mode,54,worker restart still cannot read secret volume [cycle 5],6,4223,1056,9811,1,2,6,2457,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,4,1,51.310,true,permission_denied,5,3,1,1373
text_mode,55,batch node loses database credentials after hardening [cycle 5],4,262165,65542,264876,0,0,0,0,0,false,,5,5,0,91.620,true,permission_denied,0,0,0,0
structured_mode,55,batch node loses database credentials after hardening [cycle 5],6,4251,1063,9834,1,2,6,2454,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,51.817,true,permission_denied,5,3,1,1366
text_mode,56,checkout jobs fail to load credential bundle [cycle 5],4,262290,65573,264968,0,0,0,0,0,false,,5,5,0,91.552,true,permission_denied,0,0,0,0
structured_mode,56,checkout jobs fail to load credential bundle [cycle 5],6,4253,1064,9825,1,2,6,2459,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,52.858,true,permission_denied,5,3,1,1353
text_mode,57,database writes fail because storage is full [cycle 5],4,262277,65570,264957,0,0,0,0,0,false,,5,5,0,91.580,true,storage_full,0,0,0,0
structured_mode,57,database writes fail because storage is full [cycle 5],6,3932,983,9472,1,2,6,2332,8388608,true,d3eb748200a74498baa458ebe970b06a,5,5,0,56.646,true,storage_full,5,3,1,1310
text_mode,58,replica promotion stalls on no space left error [cycle 5],4,262283,65571,264975,0,0,0,0,0,false,,5,5,0,91.596,true,storage_full,0,0,0,0
structured_mode,58,replica promotion stalls on no space left error [cycle 5],6,3944,986,9486,1,2,6,2332,8388608,true,d3eb748200a74498baa458ebe970b06a,5,4,1,52.294,true,storage_full,5,3,1,1310
text_mode,59,maintenance job aborts because postgres volume is full [cycle 5],4,262155,65539,264871,0,0,0,0,0,false,,5,5,0,91.728,true,storage_full,0,0,0,0
structured_mode,59,maintenance job aborts because postgres volume is full [cycle 5],6,4052,1013,9523,1,2,6,2329,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,56.576,true,storage_full,5,3,1,1287
text_mode,60,checkout recovery loop hits disk-full condition again [cycle 5],4,262158,65540,264871,0,0,0,0,0,false,,5,5,0,91.623,true,storage_full,0,0,0,0
structured_mode,60,checkout recovery loop hits disk-full condition again [cycle 5],6,4146,1037,9620,1,2,6,2366,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,52.592,true,storage_full,5,3,1,1298
