mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
text_mode,1,checkout database timeout on primary failover,4,262266,65567,264911,0,0,0,0,0,false,,5,5,0,91.713,true,database_timeout,0,0,0,0
structured_mode,1,checkout database timeout on primary failover,6,3779,945,9233,1,2,0,2331,8388608,false,,5,5,0,58.681,true,database_timeout,5,3,1,1289
text_mode,2,checkout timeout after config drift on blue deployment,4,262278,65570,264957,0,0,0,0,0,false,,5,5,0,91.647,true,database_timeout,0,0,0,0
structured_mode,2,checkout timeout after config drift on blue deployment,6,3941,986,9409,1,2,6,2306,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,47.897,true,database_timeout,5,3,1,1278
text_mode,3,payment timeout while talking to checkout database,4,262279,65570,264942,0,0,0,0,0,false,,5,5,0,91.620,true,database_timeout,0,0,0,0
structured_mode,3,payment timeout while talking to checkout database,6,4075,1019,9498,1,2,6,2339,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,46.978,true,database_timeout,5,3,1,1273
text_mode,4,canary rollout triggers repeated postgres timeout,4,262278,65570,264934,0,0,0,0,0,false,,5,5,0,91.632,true,database_timeout,0,0,0,0
structured_mode,4,canary rollout triggers repeated postgres timeout,6,4069,1018,9550,1,2,6,2369,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,43.750,true,database_timeout,5,3,1,1305
text_mode,5,credential refresh fails with permission denied,4,262279,65570,264929,0,0,0,0,0,false,,5,5,0,91.761,true,permission_denied,0,0,0,0
structured_mode,5,credential refresh fails with permission denied,6,4016,1004,9574,1,2,0,2455,8388608,false,,5,5,0,54.378,true,permission_denied,5,3,1,1359
text_mode,6,worker restart still cannot read secret volume,4,262281,65571,264929,0,0,0,0,0,false,,5,5,0,91.761,true,permission_denied,0,0,0,0
structured_mode,6,worker restart still cannot read secret volume,6,4178,1045,9762,1,2,6,2455,8388608,true,cee793696c0e4e03a1fe4215f4766e71,5,4,1,48.411,true,permission_denied,5,3,1,1373
text_mode,7,batch node loses database credentials after hardening,4,262145,65537,264818,0,0,0,0,0,false,,5,5,0,91.604,true,permission_denied,0,0,0,0
structured_mode,7,batch node loses database credentials after hardening,6,4206,1052,9787,1,2,6,2451,8388608,true,cee793696c0e4e03a1fe4215f4766e71,5,3,2,46.741,true,permission_denied,5,3,1,1365
text_mode,8,checkout jobs fail to load credential bundle,4,262270,65568,264909,0,0,0,0,0,false,,5,5,0,91.628,true,permission_denied,0,0,0,0
structured_mode,8,checkout jobs fail to load credential bundle,6,4208,1052,9777,1,2,6,2457,8388608,true,71155efab6d14c96a7f69f9470afb5b8,5,3,2,45.606,true,permission_denied,5,3,1,1353
text_mode,9,database writes fail because storage is full,4,262257,65565,264898,0,0,0,0,0,false,,5,5,0,91.637,true,storage_full,0,0,0,0
structured_mode,9,database writes fail because storage is full,6,3695,924,9218,1,2,0,2330,8388608,false,,5,5,0,46.823,true,storage_full,5,3,1,1310
text_mode,10,replica promotion stalls on no space left error,4,262263,65566,264916,0,0,0,0,0,false,,5,5,0,91.643,true,storage_full,0,0,0,0
structured_mode,10,replica promotion stalls on no space left error,6,3904,976,9446,1,2,6,2333,8388608,true,d3eb748200a74498baa458ebe970b06a,5,4,1,48.119,true,storage_full,5,3,1,1311
text_mode,11,maintenance job aborts because postgres volume is full,4,262282,65571,264960,0,0,0,0,0,false,,5,5,0,91.652,true,storage_full,0,0,0,0
structured_mode,11,maintenance job aborts because postgres volume is full,6,4012,1003,9486,1,2,6,2329,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,51.110,true,storage_full,5,3,1,1287
text_mode,12,checkout recovery loop hits disk-full condition again,4,262285,65572,264960,0,0,0,0,0,false,,5,5,0,91.650,true,storage_full,0,0,0,0
structured_mode,12,checkout recovery loop hits disk-full condition again,6,4106,1027,9580,1,2,6,2366,8388608,true,d3eb748200a74498baa458ebe970b06a,5,3,2,44.674,true,storage_full,5,3,1,1298
text_mode,13,checkout database timeout on primary failover [cycle 2],4,262286,65572,264967,0,0,0,0,0,false,,5,5,0,91.648,true,database_timeout,0,0,0,0
structured_mode,13,checkout database timeout on primary failover [cycle 2],6,4016,1004,9487,1,2,6,2333,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,5,0,55.685,true,database_timeout,5,3,1,1289
text_mode,14,checkout timeout after config drift on blue deployment [cycle 2],4,262151,65538,264867,0,0,0,0,0,false,,5,5,0,91.638,true,database_timeout,0,0,0,0
structured_mode,14,checkout timeout after config drift on blue deployment [cycle 2],6,3986,997,9460,1,2,6,2309,8388608,true,7986a9afe33c4153ae3bc3c2b6e3dbda,5,3,2,46.577,true,database_timeout,5,3,1,1279
text_mode,15,payment timeout while talking to checkout database [cycle 2],4,262152,65538,264854,0,0,0,0,0,false,,5,5,0,91.618,true,database_timeout,0,0,0,0
