mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
text_mode,1,checkout database timeout on primary failover,4,65565,16392,66869,0,0,0,0,0,false,,5,5,0,90.298,true,database_timeout,0,0,0,0
structured_mode,1,checkout database timeout on primary failover,6,3779,945,9229,1,2,0,2330,8388608,false,,5,5,0,58.855,true,database_timeout,5,3,1,1288
text_mode,2,checkout timeout after config drift on blue deployment,4,65577,16395,66918,0,0,0,0,0,false,,5,5,0,90.256,true,database_timeout,0,0,0,0
structured_mode,2,checkout timeout after config drift on blue deployment,6,3941,986,9407,1,2,6,2306,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,44.554,true,database_timeout,5,3,1,1278
text_mode,3,payment timeout while talking to checkout database,4,65578,16395,66904,0,0,0,0,0,false,,5,5,0,90.251,true,database_timeout,0,0,0,0
structured_mode,3,payment timeout while talking to checkout database,6,4075,1019,9496,1,2,6,2339,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,53.005,true,database_timeout,5,3,1,1273
text_mode,4,canary rollout triggers repeated postgres timeout,4,65577,16395,66897,0,0,0,0,0,false,,5,5,0,90.253,true,database_timeout,0,0,0,0
structured_mode,4,canary rollout triggers repeated postgres timeout,6,4069,1018,9549,1,2,6,2369,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,44.173,true,database_timeout,5,3,1,1305
text_mode,5,credential refresh fails with permission denied,4,65578,16395,66891,0,0,0,0,0,false,,5,5,0,90.253,true,permission_denied,0,0,0,0
structured_mode,5,credential refresh fails with permission denied,6,4016,1004,9574,1,2,0,2454,8388608,false,,5,5,0,46.949,true,permission_denied,5,3,1,1358
text_mode,6,worker restart still cannot read secret volume,4,65580,16395,66890,0,0,0,0,0,false,,5,5,0,90.248,true,permission_denied,0,0,0,0
structured_mode,6,worker restart still cannot read secret volume,6,4178,1045,9761,1,2,6,2455,8388608,true,7ef0c6257d104a60baf4e42bc8b10a7d,5,4,1,47.337,true,permission_denied,5,3,1,1373
text_mode,7,batch node loses database credentials after hardening,4,65591,16398,66928,0,0,0,0,0,false,,5,5,0,90.245,true,permission_denied,0,0,0,0
structured_mode,7,batch node loses database credentials after hardening,6,4206,1052,9783,1,2,6,2451,8388608,true,7ef0c6257d104a60baf4e42bc8b10a7d,5,3,2,44.214,true,permission_denied,5,3,1,1365
text_mode,8,checkout jobs fail to load credential bundle,4,65569,16393,66871,0,0,0,0,0,false,,5,5,0,90.253,true,permission_denied,0,0,0,0
structured_mode,8,checkout jobs fail to load credential bundle,6,4208,1052,9778,1,2,6,2457,8388608,true,fae4abd705494ecc945e03509f86b247,5,3,2,44.060,true,permission_denied,5,3,1,1353
text_mode,9,database writes fail because storage is full,4,65556,16389,66856,0,0,0,0,0,false,,5,5,0,90.252,true,storage_full,0,0,0,0
structured_mode,9,database writes fail because storage is full,6,3695,924,9219,1,2,0,2330,8388608,false,,5,5,0,48.054,true,storage_full,5,3,1,1310
text_mode,10,replica promotion stalls on no space left error,4,65562,16391,66874,0,0,0,0,0,false,,5,5,0,90.240,true,storage_full,0,0,0,0
structured_mode,10,replica promotion stalls on no space left error,6,3904,976,9442,1,2,6,2332,8388608,true,373683f0b9994974898cd3b888e55783,5,4,1,45.709,true,storage_full,5,3,1,1310
text_mode,11,maintenance job aborts because postgres volume is full,4,65581,16396,66920,0,0,0,0,0,false,,5,5,0,90.245,true,storage_full,0,0,0,0
structured_mode,11,maintenance job aborts because postgres volume is full,6,4012,1003,9483,1,2,6,2327,8388608,true,373683f0b9994974898cd3b888e55783,5,3,2,46.900,true,storage_full,5,3,1,1285
text_mode,12,checkout recovery loop hits disk-full condition again,4,65584,16396,66921,0,0,0,0,0,false,,5,5,0,90.244,true,storage_full,0,0,0,0
