mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
structured_mode,12,checkout recovery loop hits disk-full condition again,6,4106,1027,9582,1,2,6,2366,8388608,true,373683f0b9994974898cd3b888e55783,5,3,2,47.119,true,storage_full,5,3,1,1298
text_mode,13,checkout database timeout on primary failover [cycle 2],4,65585,16397,66931,0,0,0,0,0,false,,5,5,0,90.244,true,database_timeout,0,0,0,0
structured_mode,13,checkout database timeout on primary failover [cycle 2],6,4016,1004,9487,1,2,6,2334,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,5,0,50.138,true,database_timeout,5,3,1,1290
text_mode,14,checkout timeout after config drift on blue deployment [cycle 2],4,65597,16400,66978,0,0,0,0,0,false,,5,5,0,90.246,true,database_timeout,0,0,0,0
structured_mode,14,checkout timeout after config drift on blue deployment [cycle 2],6,3986,997,9458,1,2,6,2309,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,46.981,true,database_timeout,5,3,1,1279
text_mode,15,payment timeout while talking to checkout database [cycle 2],4,65598,16400,66962,0,0,0,0,0,false,,5,5,0,90.253,true,database_timeout,0,0,0,0
structured_mode,15,payment timeout while talking to checkout database [cycle 2],6,4120,1030,9547,1,2,6,2342,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,47.041,true,database_timeout,5,3,1,1274
text_mode,16,canary rollout triggers repeated postgres timeout [cycle 2],4,65597,16400,66955,0,0,0,0,0,false,,5,5,0,90.254,true,database_timeout,0,0,0,0
structured_mode,16,canary rollout triggers repeated postgres timeout [cycle 2],6,4114,1029,9603,1,2,6,2372,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,46.097,true,database_timeout,5,3,1,1306
text_mode,17,credential refresh fails with permission denied [cycle 2],4,65598,16400,66948,0,0,0,0,0,false,,5,5,0,90.315,true,permission_denied,0,0,0,0
structured_mode,17,credential refresh fails with permission denied [cycle 2],6,4253,1064,9827,1,2,6,2456,8388608,true,fae4abd705494ecc945e03509f86b247,5,5,0,50.117,true,permission_denied,5,3,1,1358
text_mode,18,worker restart still cannot read secret volume [cycle 2],4,65600,16400,66947,0,0,0,0,0,false,,5,5,0,90.254,true,permission_denied,0,0,0,0
structured_mode,18,worker restart still cannot read secret volume [cycle 2],6,4223,1056,9812,1,2,6,2458,8388608,true,fae4abd705494ecc945e03509f86b247,5,4,1,47.524,true,permission_denied,5,3,1,1374
text_mode,19,batch node loses database credentials after hardening [cycle 2],4,65611,16403,66987,0,0,0,0,0,false,,5,5,0,90.245,true,permission_denied,0,0,0,0
structured_mode,19,batch node loses database credentials after hardening [cycle 2],6,4251,1063,9834,1,2,6,2454,8388608,true,fae4abd705494ecc945e03509f86b247,5,3,2,47.147,true,permission_denied,5,3,1,1366
text_mode,20,checkout jobs fail to load credential bundle [cycle 2],4,65589,16398,66931,0,0,0,0,0,false,,5,5,0,90.244,true,permission_denied,0,0,0,0
structured_mode,20,checkout jobs fail to load credential bundle [cycle 2],6,4253,1064,9831,1,2,6,2460,8388608,true,fae4abd705494ecc945e03509f86b247,5,3,2,50.126,true,permission_denied,5,3,1,1354
text_mode,21,database writes fail because storage is full [cycle 2],4,65576,16394,66916,0,0,0,0,0,false,,5,5,0,90.252,true,storage_full,0,0,0,0
structured_mode,21,database writes fail because storage is full [cycle 2],6,3932,983,9472,1,2,6,2333,8388608,true,373683f0b9994974898cd3b888e55783,5,5,0,48.065,true,storage_full,5,3,1,1311
text_mode,22,replica promotion stalls on no space left error [cycle 2],4,65582,16396,66936,0,0,0,0,0,false,,5,5,0,90.247,true,storage_full,0,0,0,0
structured_mode,22,replica promotion stalls on no space left error [cycle 2],6,3944,986,9482,1,2,6,2333,8388608,true,373683f0b9994974898cd3b888e55783,5,4,1,49.661,true,storage_full,5,3,1,1311
text_mode,23,maintenance job aborts because postgres volume is full [cycle 2],4,65601,16401,66981,0,0,0,0,0,false,,5,5,0,90.241,true,storage_full,0,0,0,0
structured_mode,23,maintenance job aborts because postgres volume is full [cycle 2],6,4052,1013,9524,1,2,6,2329,8388608,true,373683f0b9994974898cd3b888e55783,5,3,2,48.172,true,storage_full,5,3,1,1287
text_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],4,65604,16401,66978,0,0,0,0,0,false,,5,5,0,90.243,true,storage_full,0,0,0,0
structured_mode,24,checkout recovery loop hits disk-full condition again [cycle 2],6,4146,1037,9621,1,2,6,2366,8388608,true,373683f0b9994974898cd3b888e55783,5,3,2,45.972,true,storage_full,5,3,1,1298
text_mode,25,checkout database timeout on primary failover [cycle 3],4,65585,16397,66928,0,0,0,0,0,false,,5,5,0,90.243,true,database_timeout,0,0,0,0
structured_mode,25,checkout database timeout on primary failover [cycle 3],6,4016,1004,9485,1,2,6,2334,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,5,0,50.129,true,database_timeout,5,3,1,1290
text_mode,26,checkout timeout after config drift on blue deployment [cycle 3],4,65597,16400,66977,0,0,0,0,0,false,,5,5,0,90.237,true,database_timeout,0,0,0,0
structured_mode,26,checkout timeout after config drift on blue deployment [cycle 3],6,3986,997,9458,1,2,6,2308,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,48.227,true,database_timeout,5,3,1,1278
text_mode,27,payment timeout while talking to checkout database [cycle 3],4,65598,16400,66961,0,0,0,0,0,false,,5,5,0,90.250,true,database_timeout,0,0,0,0
structured_mode,27,payment timeout while talking to checkout database [cycle 3],6,4120,1030,9547,1,2,6,2342,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,46.118,true,database_timeout,5,3,1,1274
text_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],4,65597,16400,66957,0,0,0,0,0,false,,5,5,0,90.239,true,database_timeout,0,0,0,0
structured_mode,28,canary rollout triggers repeated postgres timeout [cycle 3],6,4114,1029,9599,1,2,6,2371,8388608,true,66465096ccd2452fb8e0b6d8b8c7d732,5,3,2,48.171,true,database_timeout,5,3,1,1305
text_mode,29,credential refresh fails with permission denied [cycle 3],4,65598,16400,66948,0,0,0,0,0,false,,5,5,0,90.240,true,permission_denied,0,0,0,0
structured_mode,29,credential refresh fails with permission denied [cycle 3],6,4253,1064,9830,1,2,6,2458,8388608,true,fae4abd705494ecc945e03509f86b247,5,5,0,52.153,true,permission_denied,5,3,1,1360
text_mode,30,worker restart still cannot read secret volume [cycle 3],4,65600,16400,66946,0,0,0,0,0,false,,5,5,0,90.243,true,permission_denied,0,0,0,0
structured_mode,30,worker restart still cannot read secret volume [cycle 3],6,4223,1056,9813,1,2,6,2458,8388608,true,fae4abd705494ecc945e03509f86b247,5,4,1,49.481,true,permission_denied,5,3,1,1374
