mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
structured_mode,18,worker restart still cannot read secret volume [cycle 2],6,4223,1056,9808,1,2,6,2457,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,4,1,48.341,true,permission_denied,5,3,1,1373
text_mode,19,batch node loses database credentials after hardening [cycle 2],4,262165,65542,264877,0,0,0,0,0,false,,5,5,0,91.613,true,permission_denied,0,0,0,0
structured_mode,19,batch node loses database credentials after hardening [cycle 2],6,4251,1063,9836,1,2,6,2454,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,3,2,46.815,true,permission_denied,5,3,1,1366
text_mode,20,checkout jobs fail to load credential bundle [cycle 2],4,262290,65573,264969,0,0,0,0,0,false,,5,5,0,91.643,true,permission_denied,0,0,0,0
structured_mode,20,checkout jobs fail to load credential bundle [cycle 2],6,4253,1064,9825,1,2,6,2459,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,3,2,44.686,true,permission_denied,5,3,1,1353
text_mode,21,database writes fail because storage is full [cycle 2],4,262277,65570,264953,0,0,0,0,0,false,,5,5,0,91.613,true,storage_full,0,0,0,0
structured_mode,21,database writes fail because storage is full [cycle 2],6,3932,983,9470,1,2,6,2331,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,5,0,51.764,true,storage_full,5,3,1,1309
text_mode,22,replica promotion stalls on no space left error [cycle 2],4,262283,65571,264974,0,0,0,0,0,false,,5,5,0,91.613,true,storage_full,0,0,0,0
structured_mode,22,replica promotion stalls on no space left error [cycle 2],6,3944,986,9486,1,2,6,2332,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,4,1,48.282,true,storage_full,5,3,1,1310
text_mode,23,maintenance job aborts because postgres volume is full [cycle 2],4,262155,65539,264872,0,0,0,0,0,false,,5,5,0,91.655,true,storage_full,0,0,0,0
